epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,663.811,0.97168,0.44846,0.90609,0.99485,0.99858,0.99457,0.7451,0.97117,0.40075,0.931,0.000565879,0.000565879,0.000565879
78,671.716,0.97002,0.44504,0.91441,0.9951,0.99922,0.995,0.7367,0.99939,0.40531,0.9359,0.000565588,0.000565588,0.000565588
79,681.236,0.95483,0.44202,0.91098,0.99288,0.99923,0.99443,0.74822,0.95564,0.4063,0.92292,0.000565297,0.000565297,0.000565297
80,688.674,0.9615,0.45934,0.89134,0.99359,0.99847,0.99497,0.74335,0.97908,0.40635,0.93241,0.000565006,0.000565006,0.000565006
81,696.767,0.96927,0.44207,0.9209,0.99631,0.99955,0.995,0.74689,0.96804,0.4059,0.92785,0.000564715,0.000564715,0.000564715
82,704.058,0.96712,0.44857,0.90439,0.99362,1,0.99475,0.7475,0.93956,0.40467,0.91859,0.000564424,0.000564424,0.000564424
83,712.708,0.99845,0.4502,0.92632,0.99421,0.99959,0.9948,0.74918,0.94866,0.39587,0.92164,0.000564133,0.000564133,0.000564133
84,721.888,0.99813,0.44061,0.94722,0.99664,0.99923,0.99497,0.73857,0.98933,0.4043,0.93192,0.000563842,0.000563842,0.000563842
85,731.222,0.9584,0.45961,0.93104,0.99081,0.99626,0.99472,0.73889,0.98243,0.41214,0.9317,0.000563551,0.000563551,0.000563551
86,739.37,0.94833,0.43551,0.92998,0.99499,0.99601,0.99495,0.7197,1.02562,0.41957,0.93804,0.00056326,0.00056326,0.00056326
87,748.396,0.97151,0.44742,0.92366,0.99561,0.99503,0.99489,0.73497,0.97487,0.40129,0.92447,0.000562969,0.000562969,0.000562969
88,757.095,0.92869,0.42294,0.91501,0.99502,0.99765,0.99495,0.75366,0.94592,0.39991,0.91879,0.000562678,0.000562678,0.000562678
89,765.224,0.93746,0.42775,0.90955,0.9959,0.99955,0.99462,0.76284,0.92539,0.38864,0.91386,0.000562387,0.000562387,0.000562387
90,773.912,0.95841,0.42547,0.91338,0.99499,1,0.99484,0.76294,0.93874,0.39065,0.91732,0.000562096,0.000562096,0.000562096
91,784.606,0.99586,0.43788,0.9369,0.9958,0.99928,0.99497,0.75573,0.96152,0.39833,0.9249,0.000561805,0.000561805,0.000561805
92,793.562,0.96711,0.43584,0.92161,0.99436,0.99924,0.99495,0.74747,0.95773,0.40366,0.92198,0.000561514,0.000561514,0.000561514
93,802.96,0.918,0.42074,0.90403,0.99552,0.99857,0.995,0.74996,0.96146,0.39666,0.92385,0.000561222,0.000561222,0.000561222
94,812.397,0.96178,0.42826,0.93292,0.99599,0.99927,0.995,0.76462,0.92757,0.38576,0.91417,0.000560931,0.000560931,0.000560931
95,821.629,0.93188,0.41384,0.89593,0.99263,0.99466,0.99492,0.75775,0.94849,0.38916,0.92219,0.00056064,0.00056064,0.00056064
96,829.903,0.94872,0.4348,0.91438,0.9949,0.99839,0.99419,0.75664,0.93442,0.39438,0.91672,0.000560349,0.000560349,0.000560349
97,837.778,0.95996,0.4283,0.92249,0.99243,1,0.995,0.76414,0.92435,0.38123,0.91388,0.000560058,0.000560058,0.000560058
98,847.425,0.94531,0.41919,0.92529,0.99356,0.9989,0.9947,0.75223,0.96478,0.39583,0.9223,0.000559767,0.000559767,0.000559767
99,854.983,0.94837,0.41456,0.91725,0.99045,0.99955,0.99481,0.75685,0.93733,0.38909,0.91993,0.000559476,0.000559476,0.000559476
100,863.75,0.94827,0.43137,0.92305,0.99704,0.99968,0.995,0.75932,0.94534,0.39252,0.92119,0.000559185,0.000559185,0.000559185
